track_id,track_name,first_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,neg,neu,pos,compound
5tf1VVWniHgryyumXyJM7w,Sugar (feat. Francesco Yates),Robin Schulz,0.636,0.815,5,-5.098,0,0.0581,0.0185,0,0.163,0.636,123.063,0.064,0.812,0.123,0.9894
5zFglKYiknIxks8geR8rcL,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,0.713,0.676,10,-5.483,1,0.027,0.0377,0,0.154,0.721,99.048,0.136,0.782,0.082,-0.9579
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,0.134,0.595,0.271,0.9927
6xWbpC8KpcItoGd8ZOKJlU,Mary On A Cross - slowed + reverb,Ghost,0.468,0.838,6,-5.756,0,0.0433,9.42e-05,0.196,0.0896,0.259,115.812,0.059,0.768,0.173,0.9871
5tf1VVWniHgryyumXyJM7w,Sugar (feat. Francesco Yates),Robin Schulz,0.636,0.815,5,-5.098,0,0.0581,0.0185,0,0.163,0.636,123.063,0.064,0.812,0.123,0.9894
5zFglKYiknIxks8geR8rcL,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,0.713,0.676,10,-5.483,1,0.027,0.0377,0,0.154,0.721,99.048,0.136,0.782,0.082,-0.9579
1ZLrDPgR7mvuTco3rQK8Pk,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,0.737,0.747,10,-4.818,1,0.0323,0.269,0,0.219,0.447,105.943,0.032,0.895,0.073,0.7162
5zFglKYiknIxks8geR8rcL,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,0.713,0.676,10,-5.483,1,0.027,0.0377,0,0.154,0.721,99.048,0.136,0.782,0.082,-0.9579
5zFglKYiknIxks8geR8rcL,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,0.713,0.676,10,-5.483,1,0.027,0.0377,0,0.154,0.721,99.048,0.136,0.782,0.082,-0.9579
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,0.134,0.595,0.271,0.9927
2kJqNHHGOzLNahukdvlDWN,Drive,Oh Wonder,0.657,0.456,9,-8.351,1,0.0961,0.705,8.84e-06,0.084,0.381,141.735,0.116,0.771,0.113,0.1896
3xxmjMvJsSR3L7mUOxP9QA,Never Forget You,Noisettes,0.569,0.692,9,-4.683,1,0.0323,0.0167,3.78e-05,0.126,0.737,141.632,0.05,0.741,0.209,0.9932
0ZNYGrmcehorhh9JOeg5Iv,Stay Alive,José González,0.714,0.306,6,-12.111,1,0.0388,0.726,0.168,0.0924,0.314,129.984,0.089,0.843,0.068,-0.4685
3kQcsiZLNkC9jjtJO20ht5,Mama Said,Lukas Graham,0.748,0.867,7,-4.715,0,0.0536,0.0229,1.28e-05,0.392,0.531,84.005,0.056,0.766,0.178,0.9942
0GNI8K3VATWBABQFAzBAYe,Stay,Rihanna,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,0.039,0.905,0.056,0.3189
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,0.109,0.868,0.023,-0.9825
7pYfyrMNPn3wtoCyqcTVoI,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,0.722,0.761,11,-4.459,0,0.0475,0.0117,0,0.315,0.624,128.044,,,,
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,0.021,0.775,0.204,0.9993
4dyaz1Paa846ExeFailnv9,Learn and Grow,Irie Souljah,0.653,0.638,5,-5.72,0,0.0948,0.0972,0,0.18,0.552,171.949,0.117,0.69,0.193,0.993
3c8iiZGfEammKJuWTErE5x,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),Felix Jaehn,0.778,0.566,2,-6.959,0,0.0311,0.672,0.000197,0.0698,0.479,117.971,0.037,0.839,0.125,0.978
5pjWzUc1tVcewUTdDJd6Ce,San Francisco Street,Sun Rai,0.877,0.542,2,-9.102,1,0.0419,0.224,0.132,0.0858,0.509,111.474,0.13,0.841,0.029,-0.98
3ijckkIBVhBhZlltFMJhMg,Anyone,Guards,0.395,0.607,8,-6.328,0,0.0304,0.00756,0.00931,0.15,0.766,181.832,0.148,0.718,0.133,-0.6054
4JHg4nNYUJQ5HULcCmI18R,What You Know,Two Door Cinema Club,0.549,0.754,6,-4.011,0,0.0407,0.000675,6.24e-06,0.0912,0.828,139.052,0.11,0.785,0.105,-0.8467
0JFRAcNxIayvSVmp3ohsix,Ain't Nobody (Loves Me Better) - Acoustic,Jasmine Thompson,0.422,0.243,2,-8.493,0,0.0346,0.848,0,0.111,0.227,92.831,0.079,0.829,0.092,0.9922
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,Alec Benjamin,0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,0.088,0.788,0.124,0.9134
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,Alec Benjamin,0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,0.088,0.788,0.124,0.9134
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,Alec Benjamin,0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,0.088,0.788,0.124,0.9134
3ijckkIBVhBhZlltFMJhMg,Anyone,Guards,0.395,0.607,8,-6.328,0,0.0304,0.00756,0.00931,0.15,0.766,181.832,0.148,0.718,0.133,-0.6054
4JHg4nNYUJQ5HULcCmI18R,What You Know,Two Door Cinema Club,0.549,0.754,6,-4.011,0,0.0407,0.000675,6.24e-06,0.0912,0.828,139.052,0.11,0.785,0.105,-0.8467
0JFRAcNxIayvSVmp3ohsix,Ain't Nobody (Loves Me Better) - Acoustic,Jasmine Thompson,0.422,0.243,2,-8.493,0,0.0346,0.848,0,0.111,0.227,92.831,0.079,0.829,0.092,0.9922
0F5pCWESvge1PwZF425IRg,Suga Suga,Baby Bash,0.71,0.735,5,-3.083,0,0.243,0.691,4.28e-06,0.0967,0.519,82.516,0.017,0.867,0.116,0.9926
4hyVrAsoKKjxAvQjPRt0ai,Love Your Voice,JONY,0.608,0.83,9,-5.396,0,0.0956,0.597,3.4e-06,0.118,0.211,91.088,0.0,0.654,0.346,0.998
5zFglKYiknIxks8geR8rcL,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,0.713,0.676,10,-5.483,1,0.027,0.0377,0,0.154,0.721,99.048,0.136,0.782,0.082,-0.9579
6xWbpC8KpcItoGd8ZOKJlU,Mary On A Cross - slowed + reverb,Ghost,0.468,0.838,6,-5.756,0,0.0433,9.42e-05,0.196,0.0896,0.259,115.812,0.059,0.768,0.173,0.9871
7pYfyrMNPn3wtoCyqcTVoI,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,0.722,0.761,11,-4.459,0,0.0475,0.0117,0,0.315,0.624,128.044,,,,
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,0.021,0.775,0.204,0.9993
4dyaz1Paa846ExeFailnv9,Learn and Grow,Irie Souljah,0.653,0.638,5,-5.72,0,0.0948,0.0972,0,0.18,0.552,171.949,0.117,0.69,0.193,0.993
3c8iiZGfEammKJuWTErE5x,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),Felix Jaehn,0.778,0.566,2,-6.959,0,0.0311,0.672,0.000197,0.0698,0.479,117.971,0.037,0.839,0.125,0.978
5pjWzUc1tVcewUTdDJd6Ce,San Francisco Street,Sun Rai,0.877,0.542,2,-9.102,1,0.0419,0.224,0.132,0.0858,0.509,111.474,0.13,0.841,0.029,-0.98
3ijckkIBVhBhZlltFMJhMg,Anyone,Guards,0.395,0.607,8,-6.328,0,0.0304,0.00756,0.00931,0.15,0.766,181.832,0.148,0.718,0.133,-0.6054
4JHg4nNYUJQ5HULcCmI18R,What You Know,Two Door Cinema Club,0.549,0.754,6,-4.011,0,0.0407,0.000675,6.24e-06,0.0912,0.828,139.052,0.11,0.785,0.105,-0.8467
0JFRAcNxIayvSVmp3ohsix,Ain't Nobody (Loves Me Better) - Acoustic,Jasmine Thompson,0.422,0.243,2,-8.493,0,0.0346,0.848,0,0.111,0.227,92.831,0.079,0.829,0.092,0.9922
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,Alec Benjamin,0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,0.088,0.788,0.124,0.9134
23ihGIrYOSzNNGJ6STAxI4,7 Years,Lukas Graham,0.741,0.473,10,-5.829,1,0.0603,0.29,0,0.391,0.342,119.951,0.042,0.824,0.134,0.9931
